Labels,Translation,Decision
"Text, Motor vehicle, Vehicle, Font, Car",It happened on this day .. #the_this_this_this_today #the Jerusalem_ newspaper,fake
"Tree, Nature, Natural landscape, Green, Furniture, Table, Bench, Picnic table, Nature reserve, Grass","Pictures of the charming nature of our country, the Golan Heights region and Tiberias ... # Palestine # nature # spring # photos # Tiberias # occupied Golan # lake # sunset",real
"Landmark, Tower, Monument, Spire, Sky, Tourism, National historic landmark, Tourist attraction, Architecture, Metropolis",Corona closes the Eiffel Tower .. # Corona Virus # Eiffel Tower # photos # tourists,real
"Street performance, Sitting, Street, Street artist, Musician","Amir Abu Ghalyoun, a Palestinian clown, broke the curfew in # Hebron and headed towards the Old City, in an attempt to help children who have been suffering from stone in their homes for long days because of # Corona # Jerusalem newspaper # Palestine # Hebron # Clown # Corona",real
"Moon, Sky, Atmospheric phenomenon, Full moon, Celestial event, Astronomical object, Atmosphere, Morning, Moonlight, Tree",The giant moon shines the sky # Turkey on the night of the half # Shaaban .. # The giant moon # Turkey # Heaven # Pictures,real
"Fur, Canidae, Dog, Dog breed, Carnivore, Tail, Herd, Puppy, Hunting dog","The young woman, Heba Al-Junaidi, wears the muzzle while feeding the cats inside the garden of her house in the city of Hebron, which turns her into a safe haven for stray cats to protect her from the practices of the streets ...",real
"Face, Facial expression, Text, Forehead, Nose, Smile, Jaw",Happened on this day ... #the_with_this_this_today #the Jerusalem_spaper,fake
"Moon, Atmospheric phenomenon, Full moon, Celestial event, Astronomical object, Atmosphere, Light, Sky, Darkness, Monochrome","Long live the skies of different countries of the world, a rare astronomical phenomenon, where the moon appeared in a gigantic pink, rarely repeated ...",real
Food,A bakery creates sweets in the form of an emerging Corona virus in Gaza ... Do you dare eat it? # Gaza # Bakery # Sweets # Corona Virus,real
"Arch, Landmark, Architecture, Holy places, Wall, Dome, Yellow, Building, Sky, Column",Friday blessing our followers ... With a lens: Mahmoud Matan # Al-Quds Newspaper # Friday_ blessing,fake
"Food, Chocolate, Sweetness, Dessert, Baking, Cuisine, Chocolate brownie, Confectionery, Baked goods, Dish",Bread with chocolate cakes in the form of a sheep on the occasion of Easter in Germany ... # Easter # Germany # chocolate # cakes,real
"Wedding dress, Photograph, Dress, Bride, Gown, Bridal clothing, Clothing, Bridal accessory, Veil, Ceremony",Isaac and Shaimaa .. a wedding in the shadow of Corona in Bethlehem .. # Beth_ meat # Corona_virus # photos # wedding,real
"Child, Pink, Baby, Headgear, Cap","Hospitals in Thailand are adopting every measure of protection that protects newborns from infection with the new coronavirus, including plastic shields, which are specially designed for them. # Corona Virus #Children # Thailand # Photo",real
"Sky, Town, Standing, Tourism, Street, Shadow, Infrastructure, Photography, Tree, Pedestrian",The alleys of the Old City of Jerusalem are empty due to the spread of the Corona Virus ... # the Old City # Jerusalem # Corona Virus,real
"Text, World, Map",Corona virus may push 500 million people towards the specter of poverty ... # Corona virus # poverty # unemployment # the world,fake
"Flower, Flowering plant, Julia child rose, Garden roses, Petal, Rose, Red, Floribunda, Plant, Pink",The spring season ... the brilliant pink rose colors # Al-Quds newspaper # Palestine # the spring season,real
"Landmark, Road, Pedestrian, Urban area, Sky, Snapshot, Architecture, Thoroughfare, Street, Metropolitan area","North Korea celebrated the 108th birthday of the late national founder, Kim Il-sung, relatively calmly without large-scale ceremonial activities that attract crowds of people amid efforts to stave off the Coruna virus ... #Korea Korea #Koruna Virus # Kim_Jung-un",fake
"Event, Religious institute","#Photos | Scenes from the celebration of the Islamic Endowments and Affairs Department of the Blessed Al-Aqsa Mosque with the New Islamic New Year in the Mosque of Al-Aqsa Mosque, may God return it to us and you in Yemen and blessings .. # Al-Quds Newspaper # Palestine # Jerusalem",real
"Headgear, Hat, Basket, Tradition, Smile, Fashion accessory","#Photos | The creativity of the Palestinian heritage is still based on the efforts of our grandmothers, the creators .. And here is the citizenship # Sherifa_Yusef from the town of #Bet_Rima in #Ramallah.",real
"Player, Sports, Soccer player, Sport venue, Sports equipment, Football player, Team sport, Ball game, Football, Soccer",# Historic victory for the # Palestinian guerrilla team over #UzaPakistan national team in the double qualifiers for the World Cup 2022 and #Cas_Asia2023 # Al-Quds newspaper # Palestine # Sports # Uzbekistan,real
"Medicinal mushroom, Fungus, Mushroom, Sculptor",Blueberry is one of the oldest popular dishes in Salfit .. # Al-Quds Newspaper # Blueberry # Palestine # Heritage,real
"Bird, Laughing kookaburra, Beak, Flightless bird, Penguin, Coraciiformes","# An old woman from Australia over 80 years old, who sewed woolen clothes for the young # Penguins threatened with extinction, in order to protect them after a large number of them were killed due to pollution caused by oil and its derivatives .. What do you think do the penguins look more beautiful with these clothes? Jerusalem newspaper",real
"Green, Fun, Extreme sport, Recreation, Sky, Leisure, Flip (acrobatic), Vehicle, Vacation","Are you a fan of scary amusement games? This game is one of the most surprising and exciting games around the world, as the metal structure that links the game's seats disappears during its rotation due to the designers' use of a popular technique in cinematic tricks called L, so those sitting in it seem to hang in the air! Jerusalem newspaper",real
"Room, Log cabin, Interior design, Building, Tavern, Cabin, Furniture, Restaurant","This is what autumn looks like in Vermont County, in the United States of America ... # Al-Quds Newspaper # United States # Fall # Photo",fake
"People, Tree, Iron, Woody plant, Crowd, Event, Fun, Plant, Tourism, Metal",When they said .. # The witness in #The grapes of Hebron .. We do not think they have made a mistake .. The creativity of the Palestinian grape festival yesterday in the city of Hebron is only clear evidence of that .. We leave you with the pictures .. # Al-Jerusalem newspaper,real
"Natural foods, Food, Fruit, Tomatillo, Local food, Plant, Cruciferous vegetables, Vegetable, Common fig, Brussels sprout",#Photos | # The farmers ’market .. Where municipal goods that flow from health are the best things # Palestine in the city of Al-Bireh.,real
"Land vehicle, Vehicle, Car, Luxury vehicle, Automotive design, Personal luxury car, Auto show, Full-size car, Wheel, Sedan",#Photos | # Mercedes_Maybach_S_Class is the most prestigious version of the Mercedes # S-Class cars .. Is there a buyer? # Al-Quds newspaper # Cars,real
"Tree, Rural area, Vehicle, Mode of transport, Road, Grass, Landscape, Land lot, Farm, Hill station",The beauty of nature on a farm in northern Italy # Al-Quds newspaper # Palestine # Italy # Nature # Today's photo,real
Fictional character,#Photos | The profession # pottery making is one of the traditional professions in which the citizen # Jamal Al-Fakhoury was created in the town of # Jaba south # Jenin # Photo: # Uday_Daibes # Wafa # Al-Quds newspaper # Palestine # pottery # creativity,real
"Furniture, Room, Bedroom, Property, Bed frame, Bed, Bed sheet, Interior design, Floor, Wall",#Photos | It is not only young children who commit this crime .. # Al-Quds Newspaper # Dog # Photo_ Today,real
"Canidae, Dog, Dog breed, Carnivore, Tail, Sporting Group, Fawn, Puppy, Chihuahua",#Photos | Our grandparents did not lie when they said: Sleep is Sultan .. # Al-Quds newspaper,fake
"Plant, Leaf, Adaptation, Hand, Gardener, Flower, Plantation, Herb",# Season # Cultivation # Strawberry in # Farms # Beit Lahiya in the northern Gaza Strip # Lens: # Hani_ Al-Badi # Al-Quds newspaper # Palestine,real
"Dance, Event, Performing arts, Tourism, Fun, Tango, Team sport, Leisure, Tradition, Folk dance","Meghan Markle and Prince Harry dance an African dance at their first stop in South Africa in the town of Nyanja, where they are greeted with female dances in traditional costume. # Al-Quds Newspaper # Palestine # Megan_Markle # Prince-Harry # Britain",real
"Child, People, Baby, Toddler, Grandparent, Arm, Sitting, Family, Birth, Family pictures","Royal Archie has caught everyone's attention after he first appeared with his parents, Prince Harry and Megan, on their Royal Tour in South Africa, the first time Archie has participated in an official tour since his birth # # Al-Quds Newspaper # Megan_Markle # Prince_Harri # Archie",real
"Photograph, Child, Dress, Photography, Baby, Bride, Portrait, Wedding dress, Happy, Gown","Not a painting, but a photo session for a newborn baby # Jerusalem newspaper # Photo session # Children # Motherhood # Varieties",real
"Signature, Text, Paper, Font, Paper product","If we had a Palestinian currency, this is how it would look .. Design: Jihad Naji # Al-Quds Newspaper # Palestinian currency # Miscellaneous # Photo_ Today",real
"Pink, Christmas decoration, Teacup, Cut flowers, Flower, Wreath, Bouquet, Rose, Plant, Peony","Good morning, our followers ... # Al-Quds Newspaper # Miscellaneous # Good morning # Today's photo",fake
"Horse, Bridle, Rein, Recreation, Snow, Pack animal, Winter, Fun, Riding instructor, Stallion","Kim on horseback in the mountains North Korean leader Kim Jong-un visited Baekdu, which symbolizes the land of the Holy Revolution and the facilities of Samgyeon in the northern province of Rangang, on horseback, without snow. # Jerusalem _ Newspaper # Kim # Ryangang # Mountain_Baekdu # Snow",real
"Nature, Reflection, Natural landscape, Tree, River, Water resources, Yellow, Autumn, Biome, Aerial photography",The charming autumn colors in China ... # autumn #China # autumn_season # trees,real
"Tree, Event, Plant, Smile, Adaptation, Photography, Tradition, Gesture, Student, Black hair","Today, Wednesday, tens of thousands of settlers performed the so-called blessing of priesthood / priestly grace at the Al-Buraq Wall in Jerusalem. # The settlers # Al-Buraq wall # Jerusalem # Occupation",real
"Award, Premiere, Suit","The Argentine star Lionel Messi, Barcelona's historical top scorer, received today the Golden Shoe award as the best scorer in the European leagues for the last season, for the sixth time in his career. # Messi # Lionel Messi # Golden shoe # European League # Jerusalem newspaper",real
"Protest, People, Event, Community, Public event, Crowd, Interaction, Social work, Student, Demonstration","Thousands of residents of Catalonia demonstrated for the second day in a row, confirming their demands for independence from Spain, which led to clashes with the police. # Catalonia # Spain # protests # clashes # independence",real
"Bird, Penguin, Vertebrate, Flightless bird, King penguin, Beak, Emperor penguin, Organism, adÃ©lie penguin, Neck","The endangered Magellan Way, located in South America ... # by the South America # by Jerusalem newspaper",real
"Footwear, Trophy, Shoe, Bartender, Award, Drink, Distilled beverage, Alcohol, Liqueur, High heels","The price is $ 19.9 million .. Dubai hosts the sun and moon shoes, the most expensive shoes in the world .. # Al-Quds Newspaper # Shoes # The most expensive shoes # Miscellaneous # Today's Image",real
"People in nature, Tree, Leaf, Natural landscape, Autumn, Deciduous, Walking, Woody plant, Trail, State park",Charming autumn colors in the Lithuanian capital Vilnius .. # Fall # Fall # Fall # Trees # Nature,real
"Sky, Cloud, Mountain, Travel, Tourism, Summit, Leisure, Photography, Vacation, Landscape","Tourists enjoy attractive views of the mountains of Hanzhong City, Shanxi Province # tourists # China # mountains # fog",real
"Flag, Protest, Event, Red flag",The protests taking place in Lebanon turn into an opportunity to take pictures with the burning flames ... # Al-Quds Newspaper # Lebanon protests # Pictures # Fire,real
"Eyewear, People, Sunglasses, Beauty, Lip, Snapshot, Fashion, Glasses, Event, Blond",Lebanese women demand their rights ... wide female participation in protests against the imposition of new taxes and the poor economic conditions in Lebanon. # Lebanon # Women # Protests # Beirut # Demonstrations,real
"Land vehicle, Vehicle, Car, Auto show, Motor vehicle, Automotive design, Alloy wheel, Sport utility vehicle, Crossover suv, Automotive wheel system",Volvo launches the XC40 Recharge ... the first fully electric car # Volvo # cars # electric cars,real
"Plant, Flower, Fruit tree, Fruit, Tree, Flowering plant, Food, Woody plant, Mango, Feijoa","The olive tree does not cry nor laugh. She is the lady of the slaughtered pride. Her shadow covers her leg, and her leaves are not taken off in front of a storm ... # Olives # picking olives # Palestine # Jerusalem newspaper",real
"Player, Sports, Team sport, Ball, Grass, Play, Sports equipment, Competition event, Youth, Ball game","Palestinian amputees participate in a football training course in Deir Al-Balah, central Gaza Strip, under the supervision of the European Union Football Federation Secretary-General, Simon Baker. # Gaza # Amputee # Parties # Children # Football # Palestine",real
"Facial expression, People, Event, Shoulder, Crowd, Dress, Public event, Selfie, Fashion, Gown",Cautious calmness and anger mixed with humor and fun. The demonstrators return to the squares .... This is how the streets of Lebanon appeared on the third day of the demonstrations. # Beirut # Protests # protesters # Tax,real
"Geological phenomenon, Geology, Rock, Tundra","The charming autumn colors of the Taihang Mountains The Taihang Mountains range in eastern China extends more than 400 kilometers, starting from Xishan Mountain in Beijing in the north to the north of Henan Province in the south, the series overlooks four cities, Beijing, Hebei Province, Shanxi and Henan. # Autumn # Colors_China # China",real
"Photograph, Wedding dress, Facial expression, Bride, Dress, Ceremony, Gown, Marriage, Event, Bridal clothing",Royal royal marriage to Napoleon Bonaparte's grandson .. # Jerusalem newspaper - Napoleon Bonaparte # wedding # photos # miscellaneous,real
EMPTY,Olive presses in Barqa northwest of Nablus ... # Olive # Oil # Contemporary # Palestine,real
"Transport, Mode of transport, Crowd, Photography, Pedestrian, Thoroughfare, Street, Vehicle","Violent confrontations in the capital Santiago between security forces and protesters protesting the increase in transportation prices, to the closure of subway stations. # Chile # Demonstrations # Santiago # Raise_prices",real
"Camel, Arabian camel, Camelid, Sky, Sunset, Silhouette, Photography, Backlighting, Landscape, Statue","The first official camel race in the Gaza Strip, with the participation of 20 camels, amid hundreds of Palestinians attending the race. # Gaza # Camel Race # Palestine # Jerusalem newspaper",real
"Motor vehicle, Transport, Traffic, Vehicle, Mode of transport, Car, Thoroughfare, Road, Tree, Traffic congestion","Sheep herds replaced cars in the streets of Madrid, the heart of the Spanish capital, during an annual tradition that started since 1994. Sheep herders are allowed to use public streets to migrate their livestock from northern Spain to the southern winter pastures # sheep # Madrid # sheep herders # Spain # Street",real
"Red carpet, Carpet, Event, Flooring, Advertising, Premiere","For the first time, the gold-ingot challenge events were held in the capital, Amman, on Monday. The challenge of withdrawing the gold ingot is one of the most famous challenges in the world for its material value. #Oman #Gold #Gold_Gold # Challenge",real
"Product, Bathing, Child, Floor, Toddler, Fun, Flooring, Leg, Room, Baby",Watch what this little girl did in her brother .... # Al-Quds Newspaper # Miscellaneous # Children # Photo_ Today,real
"Sheep, Sheep, Livestock, Grass, Bird, Cow-goat family","In Australia today: The most famous sheep in the world is a tunnel because of his aging age, as he belongs to a family of lambs whose life span does not exceed 10 years, and the reason for his fame is that when his wool was first removed after he was found by accident, he broke a record, and the weight of his thick wool It is 41 kg and has been displayed in a museum! # Al-Quds Newspaper # Lamb # Australia # Most Popular Lamb # Variety",real
"Corn on the cob, Vegetable, Corn, Corn on the cob, Food, Sweet corn, Vegetarian food, Cuisine, Food grain, Produce","Purple corn grows in South America specifically in Ecuador, Peru and Bolivia and makes the famous Chicha drink in those areas, which is fast ripe compared to the well-known yellow corn where it needs 3 minutes to ripen and is completely natural i.e. not genetically modified and contains a pigment that grants this color and has a great ability to treat Cancer . # Al-Quds Newspaper # Purple Atom # Variety",real
"Dog, Mammal, Vertebrate, Canidae, Dog breed, Carnivore, Greenland dog, Snout, German spitz mittel, Companion dog","Hybrid panda dogs, which is a new breed of dog China hybridized between a panda bear and a type of dog, which resulted in this type of dog, which was called panda dogs! # Panda # panda dogs + china # hybrid # dogs",real
"People, White, Facial expression, Red, Selfie, Smile, Fun, Fashion, Street fashion, Tradition",Beirut protests continue despite the rain # Beirut # protests # rain # Al-Quds newspaper,real
"Desert, Sand, Erg, Natural environment, Sky, Aeolian landform, Sahara, Dune, Horizon, Singing sand","The Empty Quarter desert in Jeddah, where the 2020 Dakar Rally will start. # Jeddah # Saudi Arabia # Dakar # Rally # The Empty Quarter desert",real
"Food, Dish, Cookware and bakeware, Cuisine, Cooking, Dutch oven, Recipe, Street food",A beautiful Palestinian morning in the olive harvest season # Jerusalem _ Newspaper # Good morning # Olive harvest # Palestine,fake
"Land vehicle, Car, Motor vehicle, Vehicle, Van, Mode of transport, Compact van, Automotive exterior, Automotive design, Auto show",Several cars with creative designs during their presentation within the activities of the 46th session of the Tokyo Motor Show in the Japanese capital # Electric cars # Tokyo # Japan # The future,real
"Yellow, Fashion, Event, Headgear, Tradition, Fashion design, Costume, Dress, Performance, Fashion accessory",Mannequins and models display various fashion designs during the first day of the Fashion Week in Pakistan in the southern city of Karachi. # Fashion # Fashion # Karachi # Fashion models,real
"Crowd, People, Fan, Audience, Urban area, Event, Metropolitan area, Public event, City, Suburb","On Friday, thousands of Iraqis took to the streets to protest against corruption and deteriorating living conditions. The security forces met the live bullets and tear gas, which led to dozens of deaths and hundreds of injuries. # Iraq # Protests # Corruption # Living conditions",real
"Wall, Adaptation, Tree, Landscape, Plant, Photography","Haj Rizq Sweiti from the town of Beit Awwa, west of Hebron, picking olives along the apartheid wall # Olives # picking olives # Hebron # separation wall # Palestine",real
"Geological phenomenon, Fissure vent, Lava, Volcano, Volcanic landform, Types of volcanic eruptions, Shield volcano, Lava dome, Heat, Lava plain","The eruption of the French island of La Reunion, known as the Baiton de la Fornese volcano, is the first eruption, marking the third eruption of the volcano this year. # Volcano # France # Eruption-volcano # Jerusalem newspaper",real
"Crowd, People, Red, Event, Public event, Red flag, Protest, Demonstration, Rebellion, Festival",For the tenth day .. Lebanon's demonstrations continue and protesters block the roads # Beirut # protests # Lebanon # corruption,real
"Face, Zombie, Head, Skin, Mask, Mouth, Flesh, Human, Costume, Fictional character","With the conclusion of October of each year, many parts of the world celebrate Halloween. The most prominent ritual celebration on this night is ghost clothes, plastic or skeletal skeletons on canvas, pictures of witches and scary masks, in an atmosphere where fun and excitement mix. # Halloween # Celebrations # Ghosts Jerusalem newspaper",real
"Natural foods, Plant, Fruit, Local food, Food, Palm tree, Banana, Produce, Arecales, Market","With the beginning of October of each year, farmers and their families in Jordan are rushing to harvest olive trees, in preparation for the season, which occupies a great national and economic importance for the population. # Olive picking # The olive season # Jordan # Amman # Jerusalem newspaper # Oil",fake
"Red, Fictional character, Street performance, Costume","The Joker Stairs, which he danced in the joy of becoming &quot;The Clown Prince of Crime&quot;, became a tourist landmark # Al-Quds Newspaper # Film # Miscellaneous # Tourist Attractions # Joker",real
"Food, Visual arts, Comfort food","Palestinian artist Hala Abu Qaoud makes art pieces using coffee beans at her home in the southern Gaza city of Rafah, and sells them online. # Gaza # coffee_gills # art pieces # arts",real
"Crowd, Competition, Table, Recreation, Competition event, Team, Games, Vehicle",Cockfighting festival in Puerto Rico .. # cockfighting # Puerto Rico # dukefest,real
"Land vehicle, Vehicle, Car, Motor vehicle, Classic, Classic car, Vintage car, Antique car, Mid-size car, Coupé","The Palestinian Munir Al-Shendi, in his workshop in the northeast of the Gaza Strip, is putting the final touches on an armstrong black car, as soon as his knowledge of repairing old classic cars carries him to international exhibitions. # Gaza # Palestine # Classic cars # Armstrong_Sidley # Jerusalem newspaper",real
"Fun, Event, Art","The Jerusalemites launched a fundraising campaign for the hospital today, and they succeeded in collecting an amount of up to one million shekels in less than 24 hours, with the mission of Jerusalemite volunteers in the hospital square in occupied Jerusalem. # Jerusalemites # Donations # Insider # Jerusalem",real
"Fish, Fish, Marine mammal, Whale shark, Shark, Cartilaginous fish","Gaza Catching a giant fish weighing 160 kilograms was sold for 3 thousand shekels, which equals 850 US dollars # Al-Quds Newspaper # Gaza # A giant fish",real
"Newspaper, Advertising, Publication, News, Newsprint, Media","On this day, 15 years before the archive of Al-Quds newspaper, Palestinian President Yasser Arafat arrived in the French capital, Paris, on a French medical plane after he advised his doctors to transfer him abroad for treatment following the deterioration of his health. # Al-Quds Newspaper # Yasser_ Arafat # Palestine",real
"Field, Grass family, Grass, Agriculture, Tree, Crop, Plant, Wood, Landscape, Soil","Countryside roads that autumn turned into a fairy tale with its golden tan color in Hezhou City, northwest China's Xinjiang Province. # Al-Jerusalem newspaper # Fall # Nature # photos",real
"Light, Grinding, Welding, Welder, Sparkler, Machine, Space, Steel, Angle grinder, Metalworking","Young man Saif Abu Adra, 26, a graduate of auto engineering from the University College in Ghurra, works in the blade of daggers and swords in his own workshop above his house. # Gaza # Daggers # Swords # Automotive engineering",real
"Horse, Animal sports, Vertebrate, Bridle, Mammal, Rein, Halter, Sports, Saddle, Jockey",Palestinian female jockeys participate in an event to support breast cancer patients in Gaza. Forty women and their families participated in a public gathering in Gaza to show support for women with breast cancer. # Gaza # Knights # Breast Cancer # Palestine # Horse,real
"Blue, Water, Violet, Purple, Light, Sky, Landmark, Architecture, Yellow, Tree","A giant network of rainbow colors consists of about 100,000 stripes in front of the famous Brandenburg Gate in Berlin, as part of celebrations scheduled for next week to mark the thirtieth anniversary of the fall of the Berlin Wall. Berlin, Berlin, Berlin, Rainbow",real
"Winter squash, Pumpkin, Calabaza, Cucurbita, Gourd, Vegetable, Child, Local food, Smile, Plant","Annual pumpkin festival in Toronto, Canada. # Canada # Pumpkin Festival # Halloween # Pumpkin",real
"Plant, Leaf, Compost, Shrub",Picking olives on the French island of Corsica ... # olive harvest # France # Corsica # olive,real
"Fog, Mist, Atmospheric phenomenon, Haze, Sky, Morning, Atmosphere, Line, Cloud, Tree",A dangerous cloud suffocates New Delhi and turns it into the gas room # New Delhi # India # Fog # Cloud,real
"People, Protest, Text, Crowd, Demonstration, Public event, Human, Event, Font, Photography",A funny picture of the demonstrations in Lebanon # Al-Quds newspaper # Lebanon demonstrations # Cute pictures # Miscellaneous,real
"Tree, Natural landscape, Leaf, Nature, Vegetation, Autumn, Natural environment, Deciduous, Woody plant, Plant","Charming autumn colors in Liaocheng Village, China # fall # tree colors # China # nature",real
"Water, Preserved food","The young Heba Abu Sabha, working in the honey beekeeper of the Shifa Apiaries, and Abu Sabha obtained funding for the construction of the honey beekeep project through the Youth Future Rescue Foundation, and it was approved to grant the project and achieved great success. # Gaza # decadent # honey # project # Palestine",real
"Hair, Face, Chin, Forehead, Hairstyle, Cheek, Portrait, Human, Portrait photography, Jaw","Images circulating on social media, describing the condition of people if the effect of insulting words said to them appears on their faces, to emphasize the importance of avoiding the use of hurtful words in dealing with others, because of the painful psychological pain that parallels the physical pain ... # Al-Quds newspaper # Varieties # Bullying # insulting words",real
"Panda, Mammal, Vertebrate, Terrestrial animal, Bear, Nature reserve, Wilderness, Snout, Nose, Biome",The giant panda Shen Xin in China ... # panda # China # animal_garden # Jerusalem_spaper,real
Science,"Palestinian artist Ruba Selim manufactures artworks using cement, in the hall of the Popular Architectural Center in Ramallah. Ramallah, Palestine, women, art works, cement, Jerusalem newspaper",real
"Wall, Cool, T-shirt, Standing, Wallpaper, Child, Ceiling, Happy, Smile, World",A 9-year-old child gets a job decorating a restaurant with his drawings after he was raising problems in the classroom because of his tampering and engraving on the walls .. # Al-Quds Newspaper # Miscellaneous # Children # Creativity # Photo_Today,real
"People, Fashion, Event, Tradition, Outerwear, Street fashion, Fashion accessory",White House Adviser Ivanka Trump has arrived in Morocco to encourage women's economic empowerment in the North African country. # Ivanka_ Trump # Morocco # Women Empowerment # Women,real
"Picture frame, Art, Painting, Photography, Room, Stock photography, Visual arts, Still life, Collection, Interior design","One of the masterpieces of the Italian painter Leonardo Da Vinci, The Virgin and Child or Madonna Litta, is on display at the Boldi Pisuli Museum in Milan. # Art # Leonardo_Davinci # Virgin #Painting",real
"Drum, People, Percussion, Community, Youth, Musical instrument, Idiophone, Membranophone, Crowd, Drums",Thousands of students and students demonstrate in several Lebanese regions within the framework of the popular movement # Lebanon # protests # students # popular movement,real
"Motor vehicle, Vehicle, Car, Transport, Mode of transport, Snapshot, Luxury vehicle, Rain, Automotive exterior, Mid-size car",Floods and heavy rains hit large parts of northern Britain .. # Floods # Britain # rain # Al-Quds newspaper,real
"Sky, Sunset, Evening, Afterglow, Morning, City, Sunrise, Horizon, Red sky at morning, Dusk",The fires paint the sky of the Australian state of New South Wales in red and the state of emergency is declared in the country .. #fires # Australia # New South Wales # fires,real
"King crab, Crab, Food, Dungeness crab, Dish, Cuisine, Seafood, Horsehair crab","A large marine crab set a record, after selling it for 46,000 dollars, at an auction held in a fish market in western Japan. # Crab # Japan # Fish # Jerusalem_ newspaper",real
"Room, Building, Furniture",From celebrating the memorial of the Prophet’s birthday in the blessed mosque of Al-Aqsa Mosque # The Prophet’s Birthday # Al-Aqsa Mosque # Jerusalem,real
"Crowd, People, Holy places, Event, Sky, Community, Tourism, Architecture, Building, Place of worship","Thousands of Palestinians at the Al-Aqsa Mosque, to participate in activities to commemorate the Prophet’s Birthday, # Palestine, the Al-Aqsa Mosque, and the Prophet’s Birthday",real
"Food, Cuisine, Snack, Bakery, Baguette, Delicacy, Street food, Dish, Malaysian food, Business",The atmosphere of celebration on the anniversary of the Prophet’s birthday in Nablus # The Prophet’s Birthday # Nablus # Jerusalem newspaper,real
"Street performance, Street artist, Music, Musician, Musical instrument, Tourism, Street",Protests continue in Lebanese cities # protests # Lebanon # overthrow of the Hariri regime,real
"Horse, Bridle, Mammal, Halter, Vertebrate, Rein, Horse supplies, Horse tack, Equestrian helmet, Stallion","Britain's Queen Elizabeth II surprised everyone, a dowry rider, and proved that age is not an obstacle to enjoying her favorite hobby. # Elizabeth_ Queen # Britain # horse_ horse # horse",real
"Mode of transport, Waste, Rubble, Scrap, Vehicle, Pollution, City",The Israeli army pushed a large number of tanks to the border with the Gaza Strip after launching rocket-propelled grenades from the strip toward Israel #Israeli_Areas #Isolation #Shelling_Gaza # Rockets # Resistance # Jerusalem,real
"Clothing, White, Fashion, Outerwear, Shoulder, Footwear, Room, Dress, Beige, Sleeve",Palestinian Lauren Imseeh from Ramallah gets the first runner-up in the Miss Arab Beauty competition that was organized yesterday # Al-Quds Newspaper # Palestine # Lauren # Queen_Beauty_Arab,real
"Candle, Lighting, Hand, Flame, Cake, Finger, Food, Vigil, Baked goods, Birthday cake",Christian denominations that run according to the eastern calendar celebrate Palm Sunday in the Church of the Nativity in Bethlehem .. # Jerusalem_ Newspaper # Palestine # Beth_lehem #One,fake
"Bird, Adaptation, Beak, Quail, Wildlife, Grouse",Al-Shunnar eggs are the best thing to encounter in the Salfit Mountains ... Muhammad Shtayyah # Al-Quds newspaper # Palestine # Al-Shinnar # nature,real
"Metal, Scale, Brass",Question of the day Is there a Palestinian law that you wish to change? Share your opinion with Al Quds Newspaper # Question_Today,fake
"Wedding dress, Tradition, Event, Marriage, Ceremony, Peach, Bridal clothing, Smile, Bride",Pictures from the wedding of the Malaysian Crown Prince Tinko Muhammed Fayez Petra on Swedish Sophie Louis Johansson. # Al-Quds Newspaper # Palestine # Today's Image # Malaysia,real
"Yellow, Water, Blue-collar worker, Floor, Flooring, Concrete","What a beautiful charity, one of the citizens in Saudi Arabia donates a blind full line of metal to a blind person to help him reach the nearest mosque # Jerusalem newspaper # Palestine # good work # photo_day",real
"Land vehicle, Vehicle, Car, Automotive design, Auto show, Mid-size car, Technology, Hatchback, Sport utility vehicle, Supercar","Photos Athletics Championships in Antalya, Turkey, to tow and carry cars and trucks # Al-Quds Newspaper # Palestine # Power Games # Antalya # Turkey # Today's Image",real
"Tourism, Building, Architecture, City, Pc game, Strategy video game, Tourist attraction, Games",Watch the world from the drone camera # Jerusalem newspaper # Miscellaneous # Aerial photos,fake
"Event, Child",Pictures from the funeral of the victims of the series of terrorist bombings in Sri Lanka # Al-Quds Newspaper # Palestine # Sri Lanka Victims,fake
"Facial hair, Event, Beard, Formal wear, Suit, Tuxedo, Moustache, Performance",The stars of the world take pictures with Mohamed Salah at the Times party for the 100 most influential personalities in the world .. # Al-Quds Newspaper # Palestine # Muhammad_ Salah # Photo_Today,real
"Adaptation, Event, Ritual, Ceremony, Landscape",Christians revive the rites of baptism of Christ in the Jordan River # Jerusalem newspaper # Palestine # curiosity of Christ's baptism # Jordan River,real
"Child, Toddler, Military uniform, Smile, Soldier",Gaza: The death of a child ill with cancer after fulfilling his dream to work as a policeman for a day # Al-Quds Newspaper # Palestine # Gaza # Photo_ Today,real
"White, Photograph, Black, Clothing, Street fashion, Beauty, Cool, Fashion, Footwear, Sportswear","Abeer Sender, who was well known through the media through a YouTube video, was entitled Yes, you are black but beautiful, and today you are one of the well-known Saudi fashion blogs. During her lifetime, she was bullied by the color of her dark skin, until this prompted her to appear and succeed more. It is worth noting that Abeer married several days ago to British boxing coach Liam, who definitely loved her heart and skin color. # Al-Quds Newspaper # Palestine # Abeer Sender",real
"Product, Selling, Snapshot, Retail, Cool, Convenience store, Toy, Collection, Games, Photography","The famous game of Bebji achieves historical profits, amounting to 920 million US dollars, the image of the world champion in the game, an Iraqi, ... # Al-Quds Newspaper # Palestine # Iraq # Bebji",real
